2026-05-05 07:35:56 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:49:26 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:27 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:27 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ⛔ RATE_LIMIT: 9 reqs (no token) | /wb/
2026-05-05 07:49:49 | 2c0f:4c40:1806:5ef:b4fe:95bb:2aad:5e08 | urlscan.io | ⛔ BLOCKED: UA_BOT: urlscan.io | /wb/
2026-05-05 07:50:57 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | /wb/index.php?url=home.php
2026-05-05 07:50:58 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ✅ PASSED (token OK) | /wb/index.php?url=home.php
2026-05-05 07:51:15 | 89.248.172.33 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 | ⛔ BLOCKED: CLOUD_IP: 89.* | /wb/
2026-05-05 07:51:40 | 146.70.231.5 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 | ⛔ BLOCKED: CLOUD_IP: 146.* | /wb/
2026-05-05 07:53:12 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:12 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:13 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:13 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:14 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:14 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:14 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:15 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | CHALLENGE -> 178.20.215.199 | /wb/
2026-05-05 07:53:15 | 178.20.215.199 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 | ⛔ RATE_LIMIT: 9 reqs (no token) | /wb/
